12957755, satellitedata, ??, 5.5, 12.95, 77.55, 887.0
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
1/1/2003,00:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,18.7951,?,0,16.9505,?,0,0,?,0,919.164,?,0,10.3135156885,?,0,0.14808,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2003,01:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,18.062,?,0,15.6557,?,0,0,?,0,918.879,?,0,14.0609246078,?,0,0.199427,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2003,02:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,17.4075,?,0,14.9091,?,0,0,?,0,918.698,?,0,349.419867575,?,0,0.26237,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2003,03:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,16.7154,?,0,14.53,?,0,0,?,0,919.021,?,0,325.512377336,?,0,0.377005,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2003,04:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,16.1758,?,0,14.1239,?,0,0,?,0,919.519,?,0,309.798792413,?,0,0.515071,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2003,05:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,15.7456,?,0,14.3817,?,0,0,?,0,919.996,?,0,298.006505283,?,0,0.62013,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2003,06:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,16.2743,?,0,16.1651,?,0,0,?,0,921.105,?,0,288.863764933,?,0,0.704777,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2003,07:00,0,0,126.0,?,0,339.0,?,0,68.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,19.1269,?,0,16.2329,?,0,0,?,0,921.821,?,0,275.353867969,?,0,0.669869,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2003,08:00,0,0,340.0,?,0,568.0,?,0,122.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,22.5213,?,0,16.8207,?,0,0,?,0,922.045,?,0,250.50180388,?,0,0.643597,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2003,09:00,0,0,552.0,?,0,704.0,?,0,154.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,24.6355,?,0,17.3336,?,0,0,?,0,922.066,?,0,244.686873344,?,0,0.715489,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2003,10:00,0,0,719.0,?,0,734.0,?,0,203.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,26.147,?,0,17.4442,?,0,0,?,0,921.426,?,0,252.543716318,?,0,0.806542,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2003,11:00,0,0,691.0,?,0,459.0,?,0,331.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,26.7939,?,0,17.3208,?,0,0,?,0,920.279,?,0,260.469435806,?,0,0.918588,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2003,12:00,0,0,605.0,?,0,256.0,?,0,398.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,27.0862,?,0,17.3022,?,0,0,?,0,919.18,?,0,265.33396203,?,0,1.06134,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2003,13:00,0,0,572.0,?,0,219.0,?,0,403.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,26.5599,?,0,16.7901,?,0,0,?,0,918.109,?,0,266.629814867,?,0,1.20543,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
