12957755, satellitedata, ??, 5.5, 12.95, 77.55, 887.0
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
1/1/2002,0:00,0,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2002,1:00,0,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2002,2:00,0,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2002,3:00,0,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2002,4:00,0,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2002,05:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,17.0788,?,0,16.4128,?,0,0,?,0,922.629,?,0,200.509431847,?,0,2.5363,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2002,06:00,0,0,0.0,?,0,0.0,?,0,0.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,17.193,?,0,16.4678,?,0,0,?,0,923.72,?,0,200.642265268,?,0,2.53724,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2002,07:00,0,0,101.0,?,0,172.0,?,0,71.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,18.1125,?,0,16.5335,?,0,0,?,0,924.357,?,0,199.729970971,?,0,2.67679,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2002,08:00,0,0,212.0,?,0,88.0,?,0,178.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,19.467,?,0,16.5929,?,0,0,?,0,924.632,?,0,196.378648039,?,0,2.91229,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2002,09:00,0,0,327.0,?,0,97.0,?,0,272.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,21.5368,?,0,16.5867,?,0,0,?,0,924.265,?,0,192.614413884,?,0,3.07584,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2002,10:00,0,0,736.0,?,0,701.0,?,0,244.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,23.4662,?,0,16.3393,?,0,0,?,0,923.742,?,0,189.676085442,?,0,3.13088,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
1/1/2002,11:00,0,0,840.0,?,0,884.0,?,0,146.0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,24.6064,?,0,16.3407,?,0,0,?,0,922.727,?,0,187.188086016,?,0,3.10051,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,?,0
